age,esl
416,-31.7
417,-35.5
418,-37
419,-42.1
420,-49.3
421,-55.3
422,-58.6
423,-70.3
424,-72
425,-89.5
426,-104.4
427,-111.5
428,-113.8
429,-116.5
430,-116.1
431,-115.6
432,-117.1
433,-119
434,-118.1
435,-114.4
436,-113.9
437,-113.2
438,-110.7
439,-105.3
440,-99.8
441,-98.5
442,-100.5
443,-101.7
444,-99.6
445,-96.2
446,-95.5
447,-95
448,-96.9
449,-98.3
450,-97.8
451,-97.8
452,-96.2
453,-94.6
454,-92.9
455,-90.9
456,-89.8
457,-88.3
458,-86
459,-81.9
460,-81.4
461,-79.7
462,-78.3
463,-75.4
464,-73.8
465,-74.8
466,-71.4
467,-62.9
468,-52.1
469,-51.2
470,-51.8
471,-49.6
472,-41.6
473,-36.8
474,-34.5
475,-32.1
476,-29.8
477,-27.6
478,-28.3
479,-31.4
480,-32.8
481,-32.4
482,-30.5
483,-28.2
484,-24.9
485,-21.1
486,-17.4
487,-17.6
488,-17.1
489,-18
490,-15.2
491,-12.7
492,-10.8
493,-12.4
494,-14.5
495,-17.6
496,-18.4
497,-15.3
498,-14
499,-17.9
500,-22.5
501,-23.3
502,-24
503,-27.3
504,-30.5
505,-33.4
506,-36
507,-40.7
508,-45.7
509,-53.5
510,-53.7
511,-51.7
512,-51.2
513,-51.7
514,-50
515,-48.9
516,-46.2
517,-43.5
518,-44.1
519,-45.5
520,-44
521,-43.9
522,-45.8
523,-48.8
524,-49.6
525,-49.1
526,-48.9
527,-47.8
528,-47.9
529,-50.1
530,-51.6
531,-53.2
532,-53.3
533,-52.7
534,-55.9
535,-61
536,-64
537,-67.3
538,-64.2
539,-59.9
540,-59
541,-55.2
542,-51.7
543,-53.7
544,-53.9
545,-53.7
546,-55
547,-57.4
548,-59.5
549,-62.1
550,-62.8
551,-60
552,-58.3
553,-59.8
554,-61.1
555,-58.4
556,-52.4
557,-46.5
558,-40.4
559,-37.9
560,-36
561,-35.4
562,-34.8
563,-33.4
564,-30.1
565,-26.7
566,-19.6
567,-13.9
568,-13.3
569,-11.6
570,-9
571,-8.1
572,-6.6
573,-8.3
574,-8.8
575,-12
576,-12.3
577,-11.6
578,-13.8
579,-23.3
580,-31.9
581,-38.3
582,-44
583,-50.1
584,-53.3
585,-54.4
586,-49.9
587,-47.1
588,-45.5
589,-39
590,-33.1
591,-30
592,-28.9
593,-30.3
594,-29.8
595,-26.3
596,-23.4
597,-24
598,-27.5
599,-33
600,-41.3
601,-41.1
602,-39.3
603,-37.8
604,-33.9
605,-24
606,-16.2
607,-14.2
608,-15.1
609,-17.7
610,-17.5
611,-18.5
612,-18.1
613,-12.5
614,-9
615,-11.2
616,-16.7
617,-29.3
618,-43.3
619,-57.9
620,-71.2
621,-79.5
622,-86.5
623,-94.1
624,-97.8
625,-100.1
626,-105.8
627,-109.8
628,-107.6
629,-105.4
630,-104.8
631,-102.5
632,-100.1
633,-100
634,-103.4
635,-107.7
636,-109.8
637,-104
638,-100.6
639,-98.7
640,-93.7
641,-92.1
642,-89.1
643,-85.3
